,0,1
0,工具变量, 
1, ,Robust
2, work ,"Coef.
Std."
3,-------------+----------------------------------------------------------------, 
4, age ,"-0.008***
(0.001)"
5, xingbie ,"0.19**
(0.014)"
6, Education ,"0.075***
(0.009)"
7, zhengzhi ,"0.156**
(0.033)"
8, shejiao ,"0.004***
(0.004)"
9, hulianwang ,"0.01***
(0.007)"
10, jieceng ,"0.03**
(0.014)"
11, zongjiao ,"0.052**
(0.02)"
12, health ,"0.014***
(0.006)"
13, xuanju ,"-0.067**
(0.013)"
14, jingji ,"0.032**
(0.011)"
15, juzhu ,"0.02**
(0.032)"
16, fsize ,"-0.003***
(0.004)"
17, F_zhiye ,"-0.021**
(0.034)"
18, P_zhengzhi ,"-0.009**
(0.025)"
19, P_Education ,"0.029***
(0.009)"
20, pollute ,"0.029**
(0.027)"
21, huanbao ,"0.008**
(0.011)"
22, z ,"0.843**
(0.033)"
23, _cons ,"-0.118
(0.172)"
24, ,"Coef.
Std."
25,-------------+----------------------------------------------------------------, 
26,env_sh |, 
27, work ,"-0.299
(0.134)"
28, age ,"-0.007***
(0.002)"
29, xingbie ,"0.218*
(0.051)"
30, Education ,"0.176**
(0.029)"
31, zhengzhi ,"0.42*
(0.09)"
32, shejiao ,"0.016**
(0.012)"
33, hulianwang ,"0.006**
(0.023)"
34, jieceng ,"0.09**
(0.045)"
35, zongjiao ,"0.192*
(0.065)"
36, health ,"0.033**
(0.021)"
37, xuanju ,"0.12**
(0.046)"
38, jingji ,"-0.04**
(0.036)"
39, juzhu ,"-0.567
(0.102)"
40, fsize ,"0.023**
(0.013)"
41, F_zhiye ,"0.028*
(0.099)"
42, P_zhengzhi ,"0.172*
(0.072)"
43, P_Education ,"0.072**
(0.029)"
44, pollute ,"-0.12*
(0.092)"
45, huanbao ,"-0.201**
(0.037)"
46,-------------+----------------------------------------------------------------, 
47,work |, 
48, z ,"0.843**
(0.035)"
49, age ,"-0.008***
(0.001)"
50, xingbie ,"0.19**
(0.014)"
51, Education ,"0.075***
(0.008)"
52, zhengzhi ,"0.156**
(0.03)"
53, shejiao ,"0.004***
(0.004)"
54, hulianwang ,"0.01***
(0.007)"
55, jieceng ,"0.03**
(0.014)"
56, zongjiao ,"0.052**
(0.02)"
57, health ,"0.014***
(0.006)"
58, xuanju ,"-0.067**
(0.013)"
59, jingji ,"0.032**
(0.011)"
60, juzhu ,"0.02**
(0.036)"
61, fsize ,"-0.003***
(0.004)"
62, F_zhiye ,"-0.021**
(0.032)"
63, P_zhengzhi ,"-0.009**
(0.024)"
64, P_Education ,"0.029***
(0.009)"
